"len" "supp" "dose"
"1" 4.2 "VC" 0.6
"2" 11.5 "VC" 0.6
"3" 7.3 "VC" 0.5
"4" 5.8 "VC" 0.6
"5" 6.4 "VC" 0.6
"6" 10 "VC" 0.9
"7" 11.2 "VC" 0.6
"8" 11.2 "VC" 0.6
"9" 5.2 "VC" 0.6
"10" 7 "VC" 0.7
"11" 16.5 "VC" 1
"12" 16.5 "VC" 1.4
"13" 15.2 "VC" 1.1
"14" 17.3 "VC" 1.1
"15" 22.5 "VC" 1.2
"16" 17.3 "VC" 1.2
"17" 13.6 "VC" 1.2
"18" 14.5 "VC" 1.1
"19" 18.8 "VC" 1.2
"20" 15.5 "VC" 1.1
"21" 23.6 "VC" 2.2
"22" 18.5 "VC" 2.3
"23" 33.9 "VC" 2.1
"24" 25.5 "VC" 2.3
"25" 26.4 "VC" 2.3
"26" 32.5 "VC" 2.4
"27" 26.7 "VC" 2.1
"28" 21.5 "VC" 2.1
"29" 23.3 "VC" 2.1
"30" 29.5 "VC" 2
"31" 15.2 "OJ" 0.7
"32" 21.5 "OJ" 0.9
"33" 17.6 "OJ" 0.9
"34" 9.7 "OJ" 0.8
"35" 14.5 "OJ" 0.6
"36" 10 "OJ" 0.6
"37" 8.2 "OJ" 0.6
"38" 9.4 "OJ" 0.8
"39" 16.5 "OJ" 0.9
"40" 9.7 "OJ" 0.5
"41" 19.7 "OJ" 1.2
"42" 23.3 "OJ" 1.5
"43" 23.6 "OJ" 1.2
"44" 26.4 "OJ" 1.2
"45" 20 "OJ" 1.2
"46" 25.2 "OJ" 1.3
"47" 25.8 "OJ" 1.3
"48" 21.2 "OJ" 1.1
"49" 14.5 "OJ" 1.1
"50" 27.3 "OJ" 1.3
"51" 25.5 "OJ" 2.1
"52" 26.4 "OJ" 2.4
"53" 22.4 "OJ" 2
"54" 24.5 "OJ" 2.1
"55" 24.8 "OJ" 2.1
"56" 30.9 "OJ" 2.1
"57" 26.4 "OJ" 2.1
"58" 27.3 "OJ" 2.2
"59" 29.4 "OJ" 2.4
"60" 23 "OJ" 2.5
